{'Coin': 'ETH', 'Profit': 1.0090921527173238, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 156.2022, 'bid': 159.3578}, 'Bid': {'ask': 160.82, 'bid': 160.82}}
{'Coin': 'XRP', 'Profit': 1.0098792590142243, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.2933865, 'bid': 0.2993135}, 'Bid': {'ask': 0.3023, 'bid': 0.3023}}
{'Coin': 'BTC', 'Profit': 1.0100525761591808, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5344.8516, 'bid': 5452.8284}, 'Bid': {'ask': 5508.2, 'bid': 5508.2}}
{'Coin': 'LTC', 'Profit': 1.0101972426972428, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 71.07705, 'bid': 72.51295}, 'Bid': {'ask': 73.26, 'bid': 73.26}}
{'Coin': 'ETC', 'Profit': 1.0137815256607225, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5.599935, 'bid': 5.713065}, 'Bid': {'ask': 5.7929, 'bid': 5.7929}}
{'Coin': 'ZEC', 'Profit': 1.0091804097951025, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 58.3011, 'bid': 59.4789}, 'Bid': {'ask': 60.03, 'bid': 60.03}}
{'Coin': 'ZRX', 'Profit': 1.0040897384671268, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.26874490500000003, 'bid': 0.274174095}, 'Bid': {'ask': 0.2753, 'bid': 0.2753}}
{'Coin': 'ETH', 'Profit': 1.013933501787255, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 156.83085, 'bid': 159.99915}, 'Bid': {'ask': 162.26, 'bid': 162.26}}
{'Coin': 'XRP', 'Profit': 1.010866110448947, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.292842, 'bid': 0.298758}, 'Bid': {'ask': 0.30204, 'bid': 0.30204}}
{'Coin': 'BTC', 'Profit': 1.0116655388427982, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5339.9115, 'bid': 5447.788500000001}, 'Bid': {'ask': 5512.09, 'bid': 5512.09}}
{'Coin': 'LTC', 'Profit': 1.0125852195254976, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 70.983, 'bid': 72.417}, 'Bid': {'ask': 73.34, 'bid': 73.34}}
{'Coin': 'ETC', 'Profit': 1.0101783740848183, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5.6187450000000005, 'bid': 5.732255}, 'Bid': {'ask': 5.7912, 'bid': 5.7912}}
{'Coin': 'ZEC', 'Profit': 1.0107901726427622, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 58.41, 'bid': 59.59}, 'Bid': {'ask': 60.24, 'bid': 60.24}}
{'Coin': 'ZRX', 'Profit': 1.0087348765432096, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.267588585, 'bid': 0.27299441500000005}, 'Bid': {'ask': 0.2754, 'bid': 0.2754}}
{'Coin': 'ETH', 'Profit': 1.0091212382831771, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 157.4991, 'bid': 160.6809}, 'Bid': {'ask': 162.16, 'bid': 162.16}}
{'Coin': 'XRP', 'Profit': 1.0108074986751459, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.29274300000000003, 'bid': 0.298657}, 'Bid': {'ask': 0.30192, 'bid': 0.30192}}
{'Coin': 'BTC', 'Profit': 1.0090137299604622, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5338.61955, 'bid': 5446.47045}, 'Bid': {'ask': 5496.01, 'bid': 5496.01}}
{'Coin': 'LTC', 'Profit': 1.0108495707862106, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 71.15625, 'bid': 72.59375}, 'Bid': {'ask': 73.39, 'bid': 73.39}}
{'Coin': 'ETC', 'Profit': 1.0107023729282245, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5.610825, 'bid': 5.724175000000001}, 'Bid': {'ask': 5.7861, 'bid': 5.7861}}
{'Coin': 'ZEC', 'Profit': 1.0096546869824445, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 58.612950000000005, 'bid': 59.79705}, 'Bid': {'ask': 60.38, 'bid': 60.38}}
{'Coin': 'ZRX', 'Profit': 1.0088087295825772, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.267665805, 'bid': 0.273073195}, 'Bid': {'ask': 0.2755, 'bid': 0.2755}}
{'Coin': 'ETH', 'Profit': 1.0096874422615014, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 157.61295, 'bid': 160.79705}, 'Bid': {'ask': 162.37, 'bid': 162.37}}
{'Coin': 'XRP', 'Profit': 1.0097449637789024, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.293436, 'bid': 0.299364}, 'Bid': {'ask': 0.30231, 'bid': 0.30231}}
{'Coin': 'BTC', 'Profit': 1.011959309803125, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5338.84725, 'bid': 5446.7027499999995}, 'Bid': {'ask': 5512.63, 'bid': 5512.63}}
{'Coin': 'LTC', 'Profit': 1.0094996600951733, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 71.4087, 'bid': 72.8513}, 'Bid': {'ask': 73.55, 'bid': 73.55}}
{'Coin': 'ETC', 'Profit': 1.0112515966444575, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5.614785, 'bid': 5.728215}, 'Bid': {'ask': 5.7934, 'bid': 5.7934}}
{'Coin': 'ZEC', 'Profit': 1.0089144845873383, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 58.6179, 'bid': 59.8021}, 'Bid': {'ask': 60.34, 'bid': 60.34}}
{'Coin': 'ZRX', 'Profit': 1.0087684029038113, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.267676695, 'bid': 0.273084305}, 'Bid': {'ask': 0.2755, 'bid': 0.2755}}
{'Coin': 'ETH', 'Profit': 1.0073374498301946, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 157.57829999999998, 'bid': 160.7617}, 'Bid': {'ask': 161.95, 'bid': 161.95}}
{'Coin': 'XRP', 'Profit': 1.00991201084979, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.2933865, 'bid': 0.2993135}, 'Bid': {'ask': 0.30231, 'bid': 0.30231}}
{'Coin': 'BTC', 'Profit': 1.009132691783931, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5349.1383, 'bid': 5457.2017000000005}, 'Bid': {'ask': 5507.5, 'bid': 5507.5}}
{'Coin': 'LTC', 'Profit': 1.0076274884101444, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 71.3394, 'bid': 72.7806}, 'Bid': {'ask': 73.34, 'bid': 73.34}}
{'Coin': 'ETC', 'Profit': 1.0089959894896972, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5.6192400000000005, 'bid': 5.73276}, 'Bid': {'ask': 5.7848, 'bid': 5.7848}}
{'Coin': 'ZEC', 'Profit': 1.0093527960526316, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 59.03865, 'bid': 60.23135}, 'Bid': {'ask': 60.8, 'bid': 60.8}}
{'Coin': 'ZRX', 'Profit': 1.0025221636363637, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.268874595, 'bid': 0.27430640500000003}, 'Bid': {'ask': 0.275, 'bid': 0.275}}
{'Coin': 'ETH', 'Profit': 1.011503907451849, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 157.45950000000002, 'bid': 160.6405}, 'Bid': {'ask': 162.51, 'bid': 162.51}}
{'Coin': 'XRP', 'Profit': 1.0091920026437542, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.2938815, 'bid': 0.2998185}, 'Bid': {'ask': 0.3026, 'bid': 0.3026}}
{'Coin': 'BTC', 'Profit': 1.0100990236491454, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5345.65845, 'bid': 5453.65155}, 'Bid': {'ask': 5509.29, 'bid': 5509.29}}
{'Coin': 'LTC', 'Profit': 1.010950081610446, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 71.27505000000001, 'bid': 72.71495}, 'Bid': {'ask': 73.52, 'bid': 73.52}}
{'Coin': 'ETC', 'Profit': 1.010558246152255, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5.62716, 'bid': 5.74084}, 'Bid': {'ask': 5.8021, 'bid': 5.8021}}
{'Coin': 'ZEC', 'Profit': 1.009108108108108, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 59.29605, 'bid': 60.493950000000005}, 'Bid': {'ask': 61.05, 'bid': 61.05}}
{'Coin': 'ZRX', 'Profit': 1.0074656545454546, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.267542055, 'bid': 0.272946945}, 'Bid': {'ask': 0.275, 'bid': 0.275}}
{'Coin': 'ETH', 'Profit': 1.0128785556645414, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 157.83075000000002, 'bid': 161.01925}, 'Bid': {'ask': 163.12, 'bid': 163.12}}
{'Coin': 'XRP', 'Profit': 1.0106959018016235, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.2938815, 'bid': 0.2998185}, 'Bid': {'ask': 0.30306, 'bid': 0.30306}}
{'Coin': 'BTC', 'Profit': 1.0099059358709728, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5350.554, 'bid': 5458.646000000001}, 'Bid': {'ask': 5513.26, 'bid': 5513.26}}
{'Coin': 'LTC', 'Profit': 1.0113669650122048, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 71.4582, 'bid': 72.90180000000001}, 'Bid': {'ask': 73.74, 'bid': 73.74}}
{'Coin': 'ETC', 'Profit': 1.0110358812207862, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5.64102, 'bid': 5.754980000000001}, 'Bid': {'ask': 5.8192, 'bid': 5.8192}}
{'Coin': 'ZEC', 'Profit': 1.0124078303425774, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 59.34059999999999, 'bid': 60.5394}, 'Bid': {'ask': 61.3, 'bid': 61.3}}
{'Coin': 'ZRX', 'Profit': 1.0044356545454547, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.26835880500000003, 'bid': 0.273780195}, 'Bid': {'ask': 0.275, 'bid': 0.275}}
{'Coin': 'ETH', 'Profit': 1.005247509531423, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 158.56334999999999, 'bid': 161.76665}, 'Bid': {'ask': 162.62, 'bid': 162.62}}
{'Coin': 'XRP', 'Profit': 1.0079374773049878, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.29457449999999996, 'bid': 0.3005255}, 'Bid': {'ask': 0.30293, 'bid': 0.30293}}
{'Coin': 'BTC', 'Profit': 1.0084949545876618, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5358.8205, 'bid': 5467.0795}, 'Bid': {'ask': 5513.92, 'bid': 5513.92}}
{'Coin': 'LTC', 'Profit': 1.0083224622910723, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 71.53245, 'bid': 72.97755}, 'Bid': {'ask': 73.59, 'bid': 73.59}}
{'Coin': 'ETC', 'Profit': 1.0087104597760461, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5.6489400000000005, 'bid': 5.76306}, 'Bid': {'ask': 5.8137, 'bid': 5.8137}}
{'Coin': 'ZEC', 'Profit': 1.006852609193522, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 59.508900000000004, 'bid': 60.7111}, 'Bid': {'ask': 61.13, 'bid': 61.13}}
{'Coin': 'ZRX', 'Profit': 1.0034891516245488, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.270567495, 'bid': 0.276033505}, 'Bid': {'ask': 0.277, 'bid': 0.277}}
{'Coin': 'ETH', 'Profit': 1.0055192841715521, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 157.9644, 'bid': 161.1556}, 'Bid': {'ask': 162.05, 'bid': 162.05}}
{'Coin': 'XRP', 'Profit': 1.006247724338817, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.2942775, 'bid': 0.3002225}, 'Bid': {'ask': 0.30211, 'bid': 0.30211}}
{'Coin': 'BTC', 'Profit': 1.006096019927635, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5358.1275, 'bid': 5466.3725}, 'Bid': {'ask': 5499.9, 'bid': 5499.9}}
{'Coin': 'LTC', 'Profit': 1.007133805695599, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 71.42354999999999, 'bid': 72.86645}, 'Bid': {'ask': 73.39, 'bid': 73.39}}
{'Coin': 'ETC', 'Profit': 1.0074732053623736, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5.64597, 'bid': 5.76003}, 'Bid': {'ask': 5.8034, 'bid': 5.8034}}
{'Coin': 'ZEC', 'Profit': 1.0033593493263226, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 59.45445, 'bid': 60.65555}, 'Bid': {'ask': 60.86, 'bid': 60.86}}
{'Coin': 'ZRX', 'Profit': 1.0099286512802021, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.269110215, 'bid': 0.27454678499999996}, 'Bid': {'ask': 0.2773, 'bid': 0.2773}}
{'Coin': 'ETH', 'Profit': 1.00912713589538, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 157.4496, 'bid': 160.63039999999998}, 'Bid': {'ask': 162.11, 'bid': 162.11}}
{'Coin': 'XRP', 'Profit': 1.0089331173339504, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.293832, 'bid': 0.29976800000000003}, 'Bid': {'ask': 0.30247, 'bid': 0.30247}}
{'Coin': 'BTC', 'Profit': 1.0057381188064765, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5355.924749999999, 'bid': 5464.12525}, 'Bid': {'ask': 5495.66, 'bid': 5495.66}}
{'Coin': 'LTC', 'Profit': 1.0077084186109975, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 71.28495, 'bid': 72.72505}, 'Bid': {'ask': 73.29, 'bid': 73.29}}
{'Coin': 'ETC', 'Profit': 1.0085969691222867, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5.636565, 'bid': 5.750435}, 'Bid': {'ask': 5.8003, 'bid': 5.8003}}
{'Coin': 'ZEC', 'Profit': 1.0073848328621322, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 58.50405, 'bid': 59.68595}, 'Bid': {'ask': 60.13, 'bid': 60.13}}
{'Coin': 'ZRX', 'Profit': 1.0034163079168186, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.26775441, 'bid': 0.27316359}, 'Bid': {'ask': 0.2741, 'bid': 0.2741}}
{'Coin': 'ETH', 'Profit': 1.0107747259514719, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 157.4496, 'bid': 160.63039999999998}, 'Bid': {'ask': 162.38, 'bid': 162.38}}
{'Coin': 'XRP', 'Profit': 1.0087568567840857, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.29402999999999996, 'bid': 0.29997}, 'Bid': {'ask': 0.30262, 'bid': 0.30262}}
{'Coin': 'BTC', 'Profit': 1.0067249487377115, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5355.924749999999, 'bid': 5464.12525}, 'Bid': {'ask': 5501.12, 'bid': 5501.12}}
{'Coin': 'LTC', 'Profit': 1.0097324710687543, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 71.29485, 'bid': 72.73515}, 'Bid': {'ask': 73.45, 'bid': 73.45}}
{'Coin': 'ETC', 'Profit': 1.0090086518906622, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5.636069999999999, 'bid': 5.74993}, 'Bid': {'ask': 5.8022, 'bid': 5.8022}}
{'Coin': 'ZEC', 'Profit': 1.0073848328621322, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 58.50405, 'bid': 59.68595}, 'Bid': {'ask': 60.13, 'bid': 60.13}}
{'Coin': 'ZRX', 'Profit': 1.0087684029038113, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.267676695, 'bid': 0.273084305}, 'Bid': {'ask': 0.2755, 'bid': 0.2755}}
{'Coin': 'ETH', 'Profit': 1.0089592565238796, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 157.94459999999998, 'bid': 161.0243}, 'Bid': {'ask': 162.48, 'bid': 162.48}}
{'Coin': 'XRP', 'Profit': 1.0074460003963273, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.294624, 'bid': 0.3005255}, 'Bid': {'ask': 0.30278, 'bid': 0.30278}}
{'Coin': 'BTC', 'Profit': 1.00838794220193, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5349.74715, 'bid': 5457.82285}, 'Bid': {'ask': 5503.99, 'bid': 5503.99}}
{'Coin': 'LTC', 'Profit': 1.0091667800299282, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 71.40375, 'bid': 72.83614999999999}, 'Bid': {'ask': 73.51, 'bid': 73.51}}
{'Coin': 'ETC', 'Profit': 1.0085616911130284, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5.632605, 'bid': 5.745385000000001}, 'Bid': {'ask': 5.795, 'bid': 5.795}}
{'Coin': 'ZEC', 'Profit': 1.0070318989865428, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 58.58324999999999, 'bid': 59.766749999999995}, 'Bid': {'ask': 60.19, 'bid': 60.19}}
{'Coin': 'ZRX', 'Profit': 1.0049392014519054, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.26871075, 'bid': 0.27413925000000006}, 'Bid': {'ask': 0.2755, 'bid': 0.2755}}
{'Coin': 'ETH', 'Profit': 1.0061345833590327, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 157.94459999999998, 'bid': 161.1354}, 'Bid': {'ask': 162.13, 'bid': 162.13}}
{'Coin': 'XRP', 'Profit': 1.006762654147519, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.2944755, 'bid': 0.3004245}, 'Bid': {'ask': 0.30247, 'bid': 0.30247}}
{'Coin': 'BTC', 'Profit': 1.0063320416235135, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5351.1183, 'bid': 5459.2217}, 'Bid': {'ask': 5494.01, 'bid': 5494.01}}
